goodForGroups,city,state,latitude,longitude,stars,reviewCount,checkins,open,alcohol,noiseLevel,attire,priceRange,delivery,waiterService,smoking,outdoorSeating,caters,goodForKids
1,Paradise Valley,AZ,33.518225,-112.004898,4,215,300,TRUE,full_bar,quiet,dressy,3,FALSE,TRUE,,TRUE,FALSE,FALSE
1,Gilbert,AZ,33.329842,-111.790869,3.5,40,205,TRUE,none,average,casual,1,FALSE,FALSE,,TRUE,TRUE,TRUE
1,Pittsburgh,PA,40.44047595,-79.99900617,4,3,7,TRUE,none,,casual,2,,,,,,
1,Henderson,NV,36.06297678,-114.955101,4,14,53,FALSE,none,average,casual,1,,,,FALSE,,
0,Surprise,AZ,33.6402375,-112.421939,1.5,4,18,TRUE,none,,casual,1,TRUE,FALSE,,FALSE,FALSE,
0,Las Vegas,NV,36.2408055,-115.2335805,2,10,25,TRUE,none,,,1,FALSE,,,,,
0,Charlotte,NC,35.1707339,-80.8469625,4,17,65,TRUE,none,,,1,,,,,,
1,Tempe,AZ,33.4108625,-111.9701785,3.5,31,82,TRUE,full_bar,quiet,casual,2,FALSE,TRUE,,TRUE,,
0,Avondale,AZ,33.430535,-112.345359,4,4,17,TRUE,none,average,,1,,FALSE,,,FALSE,
1,Phoenix,AZ,33.4950814,-112.0032205,4,74,145,FALSE,none,,casual,1,FALSE,,outdoor,TRUE,,
1,Chandler,AZ,33.2612195,-111.8848787,3.5,18,83,TRUE,none,quiet,casual,1,TRUE,FALSE,,FALSE,TRUE,
1,Las Vegas,NV,36.1041275,-115.137684,3.5,33,139,TRUE,none,quiet,casual,2,,,,FALSE,FALSE,
0,Montreal,QC,45.5368629,-73.5634698,4.5,8,15,TRUE,none,,,2,,,,,,
1,Charlotte,NC,35.15426641,-80.82801822,3.5,57,119,TRUE,full_bar,average,casual,2,FALSE,FALSE,,FALSE,TRUE,
1,Gilbert,AZ,33.348804,-111.823935,4,35,185,TRUE,none,average,casual,1,FALSE,TRUE,,TRUE,,
0,Mesa,AZ,33.45109,-111.815206,3,4,8,FALSE,none,,,,,,,,,
1,Las Vegas,NV,36.02871328,-115.1357471,4,22,70,TRUE,none,quiet,casual,2,FALSE,TRUE,,FALSE,TRUE,
0,Madison,WI,43.073528,-89.452981,3.5,51,47,TRUE,none,,,2,,,,,,
1,Mesa,AZ,33.414725,-111.67351,2.5,13,55,TRUE,full_bar,average,casual,1,FALSE,TRUE,outdoor,TRUE,,
1,Pittsburgh,PA,40.4435295,-79.9521286,4.5,4,31,TRUE,none,,,2,,,yes,TRUE,,
0,Urbana,IL,40.109243,-88.227253,3,9,65,TRUE,none,,,3,,,,TRUE,,
1,Montreal,QC,45.5257622,-73.5987989,4,44,76,TRUE,full_bar,average,casual,1,FALSE,FALSE,,FALSE,FALSE,
0,Las Vegas,NV,36.1442526,-115.1369445,1.5,5,16,TRUE,none,,casual,1,FALSE,,,,,
1,Pittsburgh,PA,40.4655697,-79.9557517,3.5,6,14,FALSE,none,average,casual,2,TRUE,FALSE,,FALSE,TRUE,
0,Phoenix,AZ,33.4802905,-112.2208867,2,5,25,TRUE,none,,,1,,,,,,
0,Charlotte,NC,35.219757,-80.809982,3,38,530,TRUE,none,,,2,,TRUE,,,,
0,Las Vegas,NV,36.1151927,-115.2320254,2,13,16,TRUE,none,,casual,2,TRUE,FALSE,,FALSE,FALSE,
0,Montral,QC,45.5033579,-73.5748509,3.5,34,68,TRUE,none,,,2,,,,FALSE,,
0,Phoenix,AZ,33.5980603,-112.0127826,3,3,31,TRUE,none,,casual,1,FALSE,,,FALSE,,
1,North Las Vegas,NV,36.2388918,-115.1629623,4,9,27,FALSE,none,average,casual,1,FALSE,FALSE,,FALSE,,
1,Charlotte,NC,35.270692,-80.733765,3,7,45,TRUE,full_bar,very_loud,,,,,,TRUE,,
0,Avondale,AZ,33.492985,-112.286067,3.5,28,20,TRUE,none,,,1,,,,,,
0,North Las Vegas,NV,36.230724,-115.162672,3.5,5,14,TRUE,none,average,casual,1,TRUE,FALSE,,FALSE,FALSE,
0,Charlotte,NC,35.1784683,-80.8756182,3,11,27,TRUE,none,,,1,,,,,,
1,Sun Prairie,WI,43.174555,-89.25008,2,5,6,TRUE,none,average,casual,1,FALSE,TRUE,,TRUE,FALSE,
1,Phoenix,AZ,33.5520874,-112.0998501,4,42,159,TRUE,full_bar,average,casual,1,FALSE,TRUE,,FALSE,TRUE,
1,Pittsburgh,PA,40.438151,-80.0042484,3,8,109,TRUE,none,,,1,FALSE,,,,,
